step,x1,y1,x2,y2,x3,y3,x4,y4
0,0.285,0.11,0.285,-0.09,-0.035,-0.09,-0.035,0.11
1,0.285,0.29,0.285,0.09,-0.035,0.09,-0.035,0.29
2,0.697818,-0.103492,0.663088,-0.300454,0.34795,-0.244886,0.382679,-0.0479248
3,1.13415,0.00150948,1.04963,-0.179752,0.759613,-0.0445142,0.844136,0.136747
4,1.42786,-0.363867,1.27465,-0.492425,1.06896,-0.247291,1.22217,-0.118733
5,1.54318,-0.331012,1.38997,-0.459569,1.18428,-0.214435,1.33749,-0.0858774
6,1.39044,-0.755215,1.21724,-0.855215,1.05724,-0.578087,1.23044,-0.478087
7,1.50776,-0.525215,1.33456,-0.625215,1.17456,-0.348087,1.34776,-0.248087
8,1.23044,-0.675215,1.05724,-0.775215,0.897237,-0.498087,1.07044,-0.398087
9,1.45704,-0.565215,1.28384,-0.665215,1.12384,-0.388087,1.29704,-0.288087
10,1.30116,-0.655215,1.12796,-0.755215,0.967955,-0.478087,1.14116,-0.378087
